Word,Count
the,112
**,70
in,45
to,41
,40
file,37
is,34
this,33
a,31
be,29
will,29
and,28
for,27
=,27
image,26
from,22
Public,22
flags,20
version,17
if,17
},16
Private,16
Meta,16
it,16
{,16
changes,15
All,15
WARNING,14
slots:,14
Created,14
Qt,14
lost,14
Compiler,14
by:,14
made,14
code,13
of,13
parameters,13
get,13
reading,13
The,13
\name,\,12
\parameters,\,12
\argc,\,12
\tag,\,12
//,11
void,11
*******************************************************************************,10
each,10
up,10
signals:,10
UI,10
write,10
SIGNAL,10
must,9
****************************************************************************,9
object,9
not,9
memory,9
***************************************************************************,9
video,9
---------,9
csv,8
check,8
properties,8
enums/sets,8
classinfo,8
as,8
revision,8
67,8
(Qt,8
classname,8
out,8
eod,8
This,8
5.9.1),8
Object,8
when,8
\"\"\\,8
constructors,8
content:,8
signalCount,8
ROI,8
methods,8
C++,8
or,7
have,7
by,7
fixme:,7
software,7
allocate,6
output,6
0,6
always,6
that,6
tag,6
are,6
use,6
For,6
end,6
series,6
set,6
5.9.1,6
metadata,6
namespace,6
element,6
every,6
Intern,6
on,6
----------,6
\this,\,6
error,6
move,5
any,5
generated,5
1,5
Ui,5
recompiling,5
else,5
but,5
-,5
WinCE,5
setupUi,5
an,5
Form,5
with,5
mouse,5
size_t,5
text,5
load,5
null,5
User,5
retranslateUi,5
Interface,5
Microsoft,4
open,4
read,4
Visual,4
pointer,4
then,4
new,4
<<,4
int,4
bar,4
coverage,4
compiler,4
isn't,4
fall,4
change,4
window,4
LF,4
percentage,4
/,4
about,4
corrupted,4
terminator,4
all,4
attribute,4
before,3
stream,3
gcc,3
\ui.PictureProcessingBar->setRange(0,\,3
//if,3
char,3
band,3
\"\\,3
parses,3
closing,3
creates,3
filenames.size());,3
unsigned,3
no,3
processing,3
through,3
pix,3
Studio,3
increase,3
opening,3
space,3
entity,3
\entity,\,3
value,3
threshold,3
2,3
static,3
current,3
2003,3
can,3
filters,3
last,3
long,3
source,3
ui.PictureProcessingBar->setValue(i);,3
thread,3
entities,3
ui.PictureProcessingBar->hide();,3
main,3
Mat,3
cachedImage,3
If,3
back,3
returned,3
becomes,3
snow,3
filter,3
changed,3
cloud,3
one,3
highlight,3
create,3
over,3
),3
this);,3
you,3
has,3
rubber,3
!=,3
rubberBand,3
convert,3
-----------,3
\"\QListWidgetItem*"\\,2
||,2
deleted,2
happy,2
otherwise,2
at,2
stuff,2
between,2
invalid,2
hide,2
%lld,2
save,2
name,2
XMLNode,2
correctly,2
files,2
special,2
-->,2
SDK,2
*,2
added,2
assigned,2
child,2
earlier,2
tricky,2
snow/cloud,2
col),2
\imageCheck.at<uchar>(row,\,2
just,2
UTF-8,2
list,2
+,2
was,2
handle,2
scaledPixmap,2
original,2
style,2
Resource,2
case:,2
Check,2
OneAfterAddThis,2
probably,2
loads,2
only,2
I,2
same,2
make,2
\SIGNAL(triggered()),\,2
delete,2
pixmap,2
string,2
straight,2
parse,2
quote,2
warning,2
would,2
->,2
redundant,2
call,2
cacheKey),2
HLS,2
detected,2
need,2
progress,2
label,2
0;,2
character,2
other,2
);,2
ui.PictureProcessingBar->show();,2
i,2
higher,2
called,2
allowed,2
horrible,2
BGR,2
CR,2
nothing,2
line,2
Read,2
channels->windowDestroyed();,2
parent,2
type,2
3,2
may,2
declarations,2
useful,2
node,2
we,2
test,2
where,2
pool,2
comment,2
number,2
\"\cv::Mat"\\,2
won't,2
BeforeThis,2
<!--,2
which,2
do,2
syntax,2
trick,2
using,2
bug,2
match,2
don't,2
selection,2
scaledSize,2
outputs,2
loop,2
runtime,2
C,2
\RGB"\,\,2
Return,2
\"\showContextMenu"\\,2
document,2
AddThis,2
level,2
emit,2
scary,1
SLOT(pix(cv::Mat)));,1
//call,1
\on,\,1
Found,1
QPainter,1
alter,1
pixel,1
],1
QPixmap,1
We,1
liable,1
larger,1
'progress.ui',1
\'as-is',\,1
\"\action"\\,1
mode,1
10,1
Isn't,1
center,1
\'J',\,1
arising,1
toolbar,1
gets,1
cameras,1
Scary,1
alignment());,1
ownership,1
wasn't,1
\level"\\,1
\"\CPU"\\,1
normalized,1
Rights,1
\However,\,1
\duplicated,\,1
thing,1
(as,1
CV_LOAD_IMAGE_COLOR)));,1
Do,1
size,1
doubly,1
\"\passToGUI"\\,1
contextMenu.addSeparator();,1
handling,1
destructor,1
behavior,1
(!img.empty()),1
different,1
va-args,1
moved,1
without,1
\"\QAction*"\\,1
*e),1
whatever,1
\header,\,1
\found,\,1
Preferring,1
annotated,1
(int*)b_hist.data;,1
inaccessible,1
simple,1
Android,1
again,1
Y,1
XMLDocuments,1
img),1
\"\ClickableLabel"\\,1
\"\recieveUpdate"\\,1
s,1
connect,1
(C4355,1
\"\changeHistogram"\\,1
true);,1
\Results"\),\,1
'parentEnd',1
target),1
done;,1
\parent,\,1
tinyXML2:,1
were,1
\"\toParentLabel"\\,1
handled,1
subject,1
than,1
ResizableRubberband::colorWidgetDestroyed(QObject,1
pair,1
nice,1
(out.isOpened()),1
menu,1
SLOT,1
numeric,1
rules:,1
\rubberband->geometry().width(),\,1
like,1
(!isEnabled()),1
Draw,1
i++),1
\QToolTip::showText(event->globalPos(),\,1
SLOT(changeHistogram()));,1
pixmap(),1
\*buffer,\,1
never,1
\"\onToolUnselected"\\,1
plenty,1
\method,\,1
CR-LF,1
\yes,\,1
versions,1
'GUI.ui',1
\applications,\,1
\channels->displayRGB("\ROI\,1
'Export.h',1
_snprintf_s(,1
\Image"\,\,1
\[,\,1
ParseText,1
\"\getROI"\\,1
(action2.isChecked()),1
XMLError',1
user,1
trailing,1
such,1
\"\remove"\\,1
Adjusting,1
together,1
images,1
cr,1
\channels->init(img(cv::Rect(origin.x(),\,1
XMLUnknown,1
slider,1
valid,1
art,1
box,1
tool,1
entire,1
QImage,1
non-whitespace,1
datetime,1
\scaling,\,1
single,1
Back,1
initializer,1
\align,\,1
find,1
There,1
\"\videoExport"\\,1
\out(filename.toStdString(),\,1
'prevAttribute',1
\"\at\,1
\"\ResizableRubberband"\\,1
fps,1
Declaration,1
scaledImage,1
off,1
md->exifData();,1
reported,1
times,1
form,1
printf(,1
Use,1
misrepresented,1
'Export.ui',1
\required,\,1
pix;,1
.PictureProcessingBar->show();,1
relate,1
num),1
Edge,1
going,1
inital,1
VC++,1
Original,1
adjusts,1
runs,1
below,1
endings,1
(/foo),1
VS2012+),1
0);,1
buffer,1
Thomason,1
opt;,1
\"\loadPictures"\\,1
VS2003's,1
technically,1
*pixmap();,1
Entities,1
QPixmap::fromImage(scaledImage);,1
else;,1
255;,1
XMLComment,1
Q_DECLARE_METATYPE(Mat),1
likely,1
-Wunused-but-set-variable,1
\now,\,1
show,1
anything,1
origin,1
coord,1
(Microsoft,1
pix(cv::Mat);,1
imageROI,1
So,1
leave,1
scaling,1
Warning:,1
//reconstruct,1
(,1
\"\passSelection"\\,1
Value,1
UI_HISTOGRAMVIEWER_H,1
it's,1
moveUp(int);,1
image(roi);,1
\"\focusReceived"\\,1
\bytes"\)\,1
sizes,1
*);,1
Normalize,1
BOM:,1
\QFileDialog::getSaveFileName(this,\,1
Size,1
misrepresented;,1
https://github.com/leethomason/tinyxml2/issues/106,1
\purpose,\,1
altered,1
\loadRGB(Mat(temp.height(),\,1
ui.PictureFrame->setSelection(tools->getCurrentSelection());,1
Multiple,1
mark,1
ColorChannelViewer();,1
\pix,\,1
performance,1
auto_ptr),1
enabled,1
(if,1
'this',1
%,1
\"\processSelection"\\,1
avaible,1
found,1
default,1
effect,1
created,1
Lee,1
define,1
-Wimplicit-fallthrough,1
makes,1
argument],1
disappear,1
provided,1
\action1("\Show\,1
everything,1
RGBHandler();,1
<foo>,1
'histogramViewer.ui',1
go,1
\-margin(),\,1
'Metadata.h',1
pixmap()->cacheKey(),1
\node,\,1
appreciated,1
less,1
Flush,1
ResizableRubberband::pix(cv::Mat,1
trims,1
XMLDeclaration,1
\Mat2Vec(blueCheck,\,1
pix);,1
histograms:,1
warranty,1
\temp.width(),\,1
returnROI(std::vector<ResizableRubberband*>);,1
\origin.y(),\,1
treat,1
annoying,1
doesn't,1
QRect,1
QString(number),1
\"\setSelection"\\,1
filtered,1
types,1
into,1
now,1
\contextMenu.addAction("\Show\,1
Set,1
[in],1
https://docs.opencv.org/2.4/doc/tutorials/imgproc/histograms/histogram_calculation/histogram_calculation.html,1
here:,1
\"\qT"\);\,1
topic,1
pass,1
\"\on_action_Edit_triggered"\\,1
\"\pos"\\,1
\Histogram"\,\,1
parsing,1
matrix,1
\0,\,1
\"\std::vector<ResizableRubberba..."\\,1
\"\clicked"\\,1
ouput,1
</foo>,1
our,1
future,1
success,1
'ProgressBar.h',1
bunch,1
UI_METADATA_H,1
picture,1
sealed,1
\QString("\%1,%2"\)\,1
reference,1
\connect(this,\,1
avoid,1
clang,1
'know',1
Exiv2::Image::AutoPtr,1
\"\ToolBoxHandler"\\,1
QString,1
BUT,1
sometimes,1
\functions."\\,1
cover,1
scroller,1
\"\onChange"\\,1
after,1
re-start,1
removed,1
cachedImage.scaled(,1
names,1
XMLAttribute,1
bit,1
\style->generatedIconPixmap(QIcon::Disabled,\,1
means,1
granted,1
needs,1
These,1
CPU,1
\"\RGBHandler"\\,1
std::vector<int>blue,1
opens,1
radio,1
C4355,1
anyway,1
\save,\,1
function,1
marked,1
QT_NO_SHORTCUT,1
column,1
CV_LOAD_IMAGE_COLOR);,1
SLOT(deleteLater()));,1
bytes,1
(*.avi);;,1
pull,1
\"\lead\,1
blueCheck;,1
[in/out],1
(showRGB()));,1
tinyxml2::XMLDocument();,1
rubberband->geometry().height())));,1
\"\changeHist"\\,1
checks,1
sets,1
past,1
how,1
\"\GUI"\\,1
\"\on_action_Open_triggered"\\,1
[,1
\Qt::KeepAspectRatio,\,1
static_cast<size_t>(temp.bytesPerLine())));,1
including,1
std::cout,1
remove,1
\"\exportData"\\,1
\count,\,1
\SIGNAL(pixChange(cv::Mat)),\,1
pretty,1
\"\saveMetadata"\\,1
comments,1
-margin());,1
action2.setCheckable(true);,1
\"\choice"\\,1
click,1
Apparently,1
intensity,1
(pixmap(),1
also,1
&&,1
finder,1
side,1
overengineered,1
\"\checkFilter"\\,1
Handle,1
why,1
UI_GUI_H,1
http://www.unicode.org/faq/utf_bom.html,1
\"\item"\\,1
colorWidgetDestroyed(QObject,1
Now,1
\cr,\,1
color,1
location,1
It,1
\RGB"\);\,1
.arg(rubberBand->size().width()),1
bitten,1
\'G'),\,1
PixmapLabel::style();,1
add,1
\margin(),\,1
\painter.drawText(rect(),\,1
md->readMetadata();,1
\const_cast<uchar*>(temp.bits()),\,1
\image"\,\,1
\(*.*)"\));\,1
designates,1
\"\,\,1
template,1
dont,1
\element,\,1
<,1
\imread(filenames[i].toStdString(),\,1
operator,1
immediately,1
painter(this);,1
\fix,\,1
\"\Metadata"\\,1
occur,1
dangling,1
GPU,1
imageCheck,1
e);,1
..,1
header,1
Where,1
contentsRect();,1
didn't,1
showing,1
ClickableLabel::moveUp(int,1
undefined,1
\"\onToolSelected"\\,1
info,1
pictures,1
Hexadecimal,1
&#x4e2d;,1
flush,1
\"\current"\\,1
reconsider,1
essentially,1
\s.height),\,1
\product,\,1
VC6,1
\out.write(Mat(imread(filenames[i].toStdString(),\,1
\"\~XMLDeclaration\n"\\,1
creator,1
\freely,\,1
TIXMLASSERT(,1
\"\accept"\\,1
unicode,1
Report,1
\'P',\,1
version:,1
ProgressBar,1
piece,1
at:,1
release,1
'endTag',1
Clear(),1
\connect(&action2,\,1
cr.size(),1
Permission,1
thinking,1
-Wtype-limits,1
Just,1
'enum,1
strings,1
Presume,1
//otherwise,1
parsed,1
(www.grinninglizard.com),1
so,1
\"\testResults"\\,1
SLOT(RGBHandler()));,1
'ClickableLabel.h',1
drawFrame(&painter);,1
\"\moving"\\,1
filenames.size();,1
ToStr(),1
UI_PROGRESS_H,1
anyone,1
funtions,1
\connect(parent,\,1
scaledPixmap.size(),1
tree,1
&exifData,1
Look,1
\Studio,\,1
s.width,1
counts,1
!pixmap()->isNull()),1
sn*,1
patterns:,1
commercial,1
_start,1
\action2.setText("\Show\,1
tinyxml2::XMLDocument*,1
\yellow"\);;\,1
No,1
contextMenu.addAction(&action2);,1
authors,1
Decimal,1
creation,1
(int,1
filled,1
ColorChannelViewer,1
reappear,1
\"\pixChange"\\,1
bf,1
looking,1
planes[0]);,1
Call,1
implied,1
'ResizableRubberband.h',1
<foo/>,1
redistribute,1
XMLText,1
2005,1
clean,1
\setStyleSheet("\selection-background-color:\,1
tinyxml2,1
region,1
\imread(filenames[0].toStdString(),\,1
'Metadata.ui',1
<ele>foo<b>bar</b></ele>,1
entityPatternPrinted,1
distribution,1
next,1
download,1
\.arg(rubberBand->size().height()),\,1
DOM,1
attributes,1
re-scanning,1
std::endl;,1
(scaledPixmap.isNull(),1
filename,1
\imshow("\Gray\,1
>,1
\"\previous"\\,1
held,1
LF-CR,1
following,1
https://stackoverflow.com/questions/40167841/qt-overriding-qlabel-paintevent,1
XMLDocument,1
handler,1
XMLElement,1
previously,1
UCS,1
flat,1
\style->drawItemPixmap(&painter,\,1
stamp,1
\"\selection"\\,1
incremented,1
&opt);,1
still,1
notice,1
https://wiki.qt.io/Clickable_QLabel,1
result,1
Close,1
list:,1
working,1
</element>,1
Declarations,1
been,1
minor,1
interest,1
xml,1
devicePixelRatioF();,1
avoids,1
regular,1
\sizeOfBuffer,\,1
*channels;,1
\"\colorWidgetDestroyed"\\,1
\"\image"\\,1
\B,G,R)\,1
idea,1
fail,1
Files,1
(pixmap()->cacheKey(),1
edit,1
matching,1
QSize,1
\"\GUIPass"\\,1
\VideoWriter::fourcc('M',\,1
table,1
\"\/"\,\,1
\(b_hist.datastart(),\,1
Clear,1
bb,1
errors,1
being,1
depending,1
logic,1
damages,1
releases,1
'CPU.h',1
base,1
count,1
ResizableRubberband::RGBHandler(),1
*format,1
select,1
\cr.adjust(margin(),\,1
QStyle*,1
channel,1
Not,1
md,1
align,1
Qt::SmoothTransformation);,1
me?),1
objects,1
signed,1
\imshow("\Main\,1
Skip,1
product,1
pixmap()->toImage();,1
histImage.rows,1
ranges,1
action2.setChecked(false);,1
warnings,1
#warning(,1
returnROI(rubberBands);,1
_unlinked,1
tracked:,1
remaining,1
\"\progress"\\,1
\Size(s.width,\,1
delete[],1
validation,1
List,1
Exiv2::ExifData,1
Parse,1
*must*,1
event,1
\"\removeRubberBand"\\,1
\CV_8UC3,\,1
designed,1
And,1
XMLUtil,1
Altered,1
\Qt::AlignCenter,\,1
\"\loadExportWindow"\\,1
export,1
keep,1
c,1
isnt,1
claim,1
(How,1
paintEvent,1
easily,1
\Also,\,1
\SIGNAL(focusReceived()),\,1
q;,1
used,1
does,1
acknowledgment,1
causes,1
\up,\,1
lefts,1
\scaledSize,\,1
Will,1
very,1
imageCheck);,1
fit,1
Cannot,1
*this*,1
Single,1
tracking,1
once,1
\"\center"\\,1
\"\imageSet"\\,1
cause,1
UI_EXPORT_H,1
\tr("\Video\,1
white,1
wrote,1
pools,1
demo,1
QLabel::paintEvent(event);,1
Compute,1
alone,1
img,1
ef,1
leading,1
results,1
many,1
plainly,1
With,1
exwindow->show();,1
\connect(&action1,\,1
\QStyle::visualAlignment(layoutDirection(),\,1
Break,1
(hasScaledContents()),1
throughs,1
restrictions:,1
put,1
row,1
QStyleOption,1
'ToolBoxHandler.h',1
In,1
img.size();,1
paintEvent(QPaintEvent,1
*blue,1
\"\Using\,1
channels,1
Exiv2::ImageFactory::open(filenames[0].toStdString());,1
\"\sendNumber"\\,1
recursive,1
\10,\,1
GCC,1
w.showFullScreen();,1
RGB,1
Comment,1
b_hist.dataend());,1
carefully,1
\"\Export"\\,1
consistency,1
<ele></ele>,1
implements,1
image);,1
historgram,1
Inner,1
Current,1
std::vector<uchar>,1
s.height,1
pixmap),1
dead,1
\"\ProgressBar"\\,1
QAction,1
const,1
scaledPixmap.setDevicePixelRatio(devicePixelRatioF());,1
fits,1
scaledPixmap;,1
'GUI.h',1
(x86_64-w64-mingw32,1
documentation,1
part,1
express,1
state:,1
assignment,1
required,1
update();,1
suppress,1
&#20013;,1
Trim,1
until,1
first,1
print,1
127;,1
Bunch,1
\"\loadMDWindow"\\,1
\such,\,1
no-op,1
VideoWriter,1
\Remember,\,1
headers,1
Unknown,1
opt.initFrom(this);,1
\tr("\Save\,1
selected,1
